Indice,Consolidacao,DivisaDeReferencia,Fonte,FluxosPosicaoePrecos,InstrumentoFinanceiro,MetodoDeValorizacao,Metrica,Otica,Periodicidade,PrazoResidual,PrazoOriginal,SetorInstitucionalDeContraparte,SetorInstitucionalDeReferencia,TerritorioDeContraparte,TerritorioDeReferencia,TipoDeInformacao,UnidadeDeMedida,Data,value
23,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2004-09-30,65.6
24,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2004-12-31,67.1
25,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2005-03-31,67.5
26,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2005-06-30,68.2
27,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2005-09-30,71.1
28,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2005-12-31,72.2
29,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2006-03-31,72.0
30,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2006-06-30,73.8
31,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2006-09-30,73.3
32,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2006-12-31,73.7
33,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2007-03-31,71.7
34,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2007-06-30,71.8
35,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2007-09-30,71.8
36,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2007-12-31,72.7
37,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2008-03-31,71.6
38,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2008-06-30,73.2
39,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2008-09-30,73.4
40,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2008-12-31,75.6
41,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2009-03-31,78.8
42,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2009-06-30,84.1
43,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2009-09-30,84.2
44,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2009-12-31,87.8
45,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2010-03-31,90.4
46,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2010-06-30,93.9
47,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2010-09-30,97.7
48,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2010-12-31,100.2
49,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2011-03-31,101.5
50,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2011-06-30,112.7
51,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2011-09-30,116.6
52,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2011-12-31,114.4
53,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2012-03-31,118.5
54,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2012-06-30,123.8
55,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2012-09-30,126.6
56,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2012-12-31,129.0
57,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2013-03-31,131.5
58,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2013-06-30,134.9
59,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2013-09-30,131.1
60,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2013-12-31,131.4
61,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2014-03-31,135.2
62,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2014-06-30,133.1
63,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2014-09-30,135.1
64,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2014-12-31,132.9
65,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2015-03-31,132.9
66,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2015-06-30,131.0
67,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2015-09-30,132.6
68,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2015-12-31,131.2
69,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2016-03-31,130.8
70,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2016-06-30,133.3
71,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2016-09-30,134.6
72,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2016-12-31,131.5
73,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2017-03-31,131.5
74,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2017-06-30,132.8
75,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2017-09-30,131.3
76,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2017-12-31,126.1
77,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2018-03-31,126.5
78,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2018-06-30,125.6
79,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2018-09-30,125.1
80,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2018-12-31,121.5
81,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2019-03-31,122.7
82,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2019-06-30,119.7
83,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2019-09-30,119.0
84,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2019-12-31,116.6
85,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2020-03-31,119.1
86,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2020-06-30,126.2
87,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2020-09-30,131.6
88,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2020-12-31,135.2
89,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2021-03-31,138.9
90,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2021-06-30,135.3
91,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2021-09-30,130.6
92,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2021-12-31,127.4
93,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2022-03-31,126.8
